brand,spinpotential,stringname,stringlink,materialcode
Gamma,6.1,Zo Tour Rough 16,http://www.tennis-warehouse.com/descpage-GZTR16.html,P
Gamma,6.1,Zo Verve 17,http://www.tennis-warehouse.com/descpage-GVRV17.html,P
Gamma,5.8,Moto 16,http://www.tennis-warehouse.com/descpage-GMOTO16.html,P
Gamma,5.4,Poly Z 16,http://www.tennis-warehouse.com/descpage-GZPZ.html,P
Gamma,4.7,Zo Twist 16,http://www.tennis-warehouse.com/descpage-GZOT16NA.html,P
Gamma,4.5,TNT2 Rx 16,http://www.tennis-warehouse.com/descpage-TNTRX.html,N
Gamma,4.2,Zo Ice 16,http://www.tennis-warehouse.com/descpage-GZOICE16.html,P
Gamma,4.1,Zo Magic 16,http://www.tennis-warehouse.com/descpage-GZOM16R.html,P
Gamma,4,Zo Black Ice 18 (1.18),http://www.tennis-warehouse.com/descpage-GBICE18.html,P
Gamma,3.9,Asterisk Spin 16,http://www.tennis-warehouse.com/descpage-GASTSPIN16.html,N
Gamma,3.9,RZR Rx 16,http://www.tennis-warehouse.com/descpage-GRRXBK.html,P
Gamma,3.8,Asterisk 16,http://www.tennis-warehouse.com/descpage-GAST16.html,N
Gamma,3.8,Monoblast 16,http://www.tennis-warehouse.com/descpage-GMB16RED.html,P
Gamma,3.8,Zo Tour 16,http://www.tennis-warehouse.com/descpage-GZTOUR16.html,O
Gamma,3.7,Zo Black Ice 17 (1.23),http://www.tennis-warehouse.com/descpage-GBICE17.html,P
Gamma,3.7,Zo Tour 17 (1.25),http://www.tennis-warehouse.com/descpage-GZTOUR17.html,P
Gamma,3.6,Synthetic Gut 16,http://www.tennis-warehouse.com/descpage-G16.html,N
Gamma,3.5,Prodigy 16,http://www.tennis-warehouse.com/descpage-GPROD16.html,N
Gamma,3.4,Asterisk Tour 16,http://www.tennis-warehouse.com/descpage-GASTT16.html,N+
Gamma,3.4,TNT2 Touch 16,http://www.tennis-warehouse.com/descpage-TNT2T16.html,N
Gamma,3.2,Glide Cross String 16,http://www.tennis-warehouse.com/descpage-GGX.html,N
Gamma,3.2,TNT2 16,http://www.tennis-warehouse.com/descpage-TNT16.html,N
Gamma,3.1,TNT2 Pro Plus 16,http://www.tennis-warehouse.com/descpage-TNTPP16.html,N
Gamma,2.9,Zo Power 16L,http://www.tennis-warehouse.com/descpage-GZOP.html,P
Gamma,2.8,Professional 17,http://www.tennis-warehouse.com/descpage-GLWPRO17.html,N
Gamma,2.8,WearGuard Synthetic Gut 16,http://www.tennis-warehouse.com/descpage-GWG16.html,N
Gamma,2.7,Professional Spin 16,http://www.tennis-warehouse.com/descpage-GLWPROS16.html,N+
Gamma,2.6,ESP 16,http://www.tennis-warehouse.com/descpage-GESP16.html,N
Gamma,2.6,Live Wire 16,http://www.tennis-warehouse.com/descpage-GLW16.html,N+
Gamma,2.6,Live Wire XP 16,http://www.tennis-warehouse.com/descpage-GLWXP16.html,N+
Gamma,2.4,Professional 16,http://www.tennis-warehouse.com/descpage-GLWPRO16.html,N+
Gosen,5.5,Polylon Comfort 16,http://www.tennis-warehouse.com/descpage-GPC16.html,P
Gosen,5.4,A.K. Control 16,http://www.tennis-warehouse.com/descpage-GAKC16.html,N
Gosen,5.1,Polymaster II 16,http://www.tennis-warehouse.com/descpage-PM216.html,P
Gosen,4.8,Polylon PolyBreak 18 (1.20),http://www.tennis-warehouse.com/descpage-POLYBRK18.html,P
Gosen,4.7,Polymaster I 16,http://www.tennis-warehouse.com/descpage-PM116.html,P
Gosen,4.6,Polylon SP 17 (1.24),http://www.tennis-warehouse.com/descpage-POLYSP17.html,P
Gosen,4.6,Sidewinder 17,http://www.tennis-warehouse.com/descpage-GSW17BK.html,P
Gosen,4.6,TecGut Remplir 16,http://www.tennis-warehouse.com/descpage-GTGREMP16.html,N+
Gosen,4.5,Compositemaster II 16,http://www.tennis-warehouse.com/descpage-COMM216.html,N
Gosen,4.5,Nanosilver 17,http://www.tennis-warehouse.com/descpage-NANOSLVR17.html,N
Gosen,4.4,AK Pro 17,http://www.tennis-warehouse.com/descpage-STAKP17.html,N
Gosen,4.3,AK Pro 16,http://www.tennis-warehouse.com/descpage-STAK16.html,N
Gosen,4.3,Polylon 17 (1.24),http://www.tennis-warehouse.com/descpage-POLY17.html,P
Gosen,4.2,Compositemaster I 16,http://www.tennis-warehouse.com/descpage-COMM116.html,N
Gosen,4.2,Polylon PolyBreak 17 (1.24),http://www.tennis-warehouse.com/descpage-POLYBRK17.html,P
Gosen,4.1,Polylon 16,http://www.tennis-warehouse.com/descpage-POLY16.html,P
Gosen,4,Nanocubic 16,http://www.tennis-warehouse.com/descpage-NANOCUB16.html,N
Gosen,4,Polylon SP 16 (1.30),http://www.tennis-warehouse.com/descpage-POLYSP16.html,P
Gosen,3.9,Powermaster I 16,http://www.tennis-warehouse.com/descpage-PWRM116.html,N
Gosen,3.6,Powermaster II 16,http://www.tennis-warehouse.com/descpage-PWRM216.html,N
Gosen,3.4,OG-Sheep Micro 16,http://www.tennis-warehouse.com/descpage-OGS16.html,N
Gosen,3.2,OG Sheep Micro 17,http://www.tennis-warehouse.com/descpage-OGSW17.html,N
Gosen,3.2,OG Sheep Micro 18,http://www.tennis-warehouse.com/descpage-OGSM18.html,N
Gosen,2.7,OG Sheep Micro Super 16L,http://www.tennis-warehouse.com/descpage-OGMS16L.html,N
Head,7,Lynx 16 (1.30),http://www.tennis-warehouse.com/descpage-LYNX16.html,P
Head,5.1,Reflex MLT 16 (1.30),http://www.tennis-warehouse.com/descpage-HRMLT16.html,N
Head,4.8,Sonic Pro Edge 16,http://www.tennis-warehouse.com/descpage-HSPE16.html,P
Head,4.7,Hawk 17 (1.25),http://www.tennis-warehouse.com/descpage-HAWK17.html,P
Head,4.6,FXP Power 16,http://www.tennis-warehouse.com/descpage-HFXPP16.html,N
Head,4.5,FXP Power 17,http://www.tennis-warehouse.com/descpage-HFXPP17.html,N
Head,4.5,Ultra Tour 16,http://www.tennis-warehouse.com/descpage-HUT16.html,P
Head,4.2,FXP Tour 16,http://www.tennis-warehouse.com/descpage-HFXPT16.html,N+
Head,4.2,Sonic Pro 16,http://www.tennis-warehouse.com/descpage-SONIC16.html,P
Head,4.1,FXP 17,http://www.tennis-warehouse.com/descpage-HFLEXPT17.html,N
Head,4.1,Ultratour 17,http://www.tennis-warehouse.com/descpage-HUT17.html,P
Head,3.9,Sonic Pro 17,http://www.tennis-warehouse.com/descpage-SONIC17.html,P
